[2026-03-30 11:29:09] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-30 11:29:09] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-30 11:29:10] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-30 11:29:10] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-30 11:29:11] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-30 11:29:11] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-30 11:29:11] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-30 11:29:12] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-30 11:29:12] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-30 11:29:13] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-30 11:29:13] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-30 11:29:13] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-30 11:29:14] BLOCKED | User: operator1 | FC:6 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-30 11:29:18] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:29:18] BLOCKED | User: operator1 | FC:16 Reg:0 - Rate limit exceeded (max 10/min)
[2026-03-30 11:29:58] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:30:20] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:30:26] ALLOWED | User: operator1 | FC:6 Reg:0 Val:26
[2026-03-30 11:30:46] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:30:50] ALLOWED | User: operator1 | FC:6 Reg:0 Val:28
[2026-03-30 11:31:00] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:31:03] ALLOWED | User: operator1 | FC:6 Reg:0 Val:29
[2026-03-30 11:31:12] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:31:20] ALLOWED | User: operator1 | FC:6 Reg:0 Val:24
[2026-03-30 11:31:27] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:31:31] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-03-30 11:31:52] AUTH_SUCCESS | User: operator1 | Login successful
[2026-03-30 11:31:55] ALLOWED | User: operator1 | FC:6 Reg:0 Val:20
[2026-04-02 00:09:27] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:09:33] ALLOWED | User: operator1 | FC:6 Reg:0 Val:17
[2026-04-02 00:09:42] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:09:48] ALLOWED | User: operator1 | FC:6 Reg:0 Val:25
[2026-04-02 00:09:59] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:10:30] BLOCKED | User: operator1 | FC:6 Reg:0 Val:0 - Temperature value 0 outside safe range (15-30)
[2026-04-02 00:10:52] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:10:59] ALLOWED | User: operator1 | FC:6 Reg:0 Val:18
[2026-04-02 00:11:08] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:11:13] ALLOWED | User: operator1 | FC:6 Reg:0 Val:29
[2026-04-02 00:11:20] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:11:26] BLOCKED | User: operator1 | FC:6 Reg:0 Val:0 - Temperature value 0 outside safe range (15-30)
[2026-04-02 00:11:43] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:11:49] ALLOWED | User: operator1 | FC:6 Reg:0 Val:17
[2026-04-02 00:11:56] AUTH_SUCCESS | User: operator1 | Login successful
[2026-04-02 00:12:06] ALLOWED | User: operator1 | FC:6 Reg:0 Val:25
[2026-04-02 00:12:15] AUTH_SUCCESS | User: operator1 | Login successful
